Game,Fc_new,Fc,Fc_delta,Fg,Q_new,Q,Q_delta,Uc_new,Uc,Uc_delta,Ug_new,Ug,Ug_delta,Cc_new,Cc,Cc_delta,Cg_new,Cg,Cg_delta
Godzilla,1900,1500,400,177,42.445923,42.55,-0.104077,29.515807,34.775,-5.259193,99.955075,99.861667,0.093408,28.04001665,26.08125,1.95876665,32.58204102,32.55159311,0.030447912
Godzilla,1900,1500,400,266,60.016639,60.016639,0,41.582363,48.668885,-7.086522,95.094842,95.317804,-0.222962,39.50324485,36.50166375,3.0015811,46.58421358,46.69343621,-0.109222637
Godzilla,1900,1500,400,350,60.05,60.033333,0.016667,41.626667,48.665,-7.038333,75.233333,75.546667,-0.313334,39.54533365,36.49875,3.04658365,48.49294024,48.69490506,-0.201964825
Godzilla,1900,1500,400,420,60.016667,60.016667,0,41.585,48.663333,-7.078333,64.868333,64.925,-0.056667,39.50575,36.49749975,3.00825025,50.17440122,50.21823204,-0.043830829
Godzilla,1900,1500,400,480,60.033278,60.049917,-0.016639,41.562396,48.72213,-7.159734,58.086522,58.429285,-0.342763,39.4842762,36.5415975,2.9426787,51.34720177,51.65019669,-0.302994917
Godzilla,1900,1500,400,543,60,60.033278,-0.033278,41.668885,48.748752,-7.079867,52.420965,52.787022,-0.366057,39.58544075,36.561564,3.02387675,52.420965,52.787022,-0.366057
Godzilla,2000,1500,500,177,42.616667,42.55,0.066667,28.656667,34.775,-6.118333,99.973333,99.861667,0.111666,28.656667,26.08125,2.575417,32.58799252,32.55159311,0.036399414
Godzilla,2000,1500,500,266,60,60.016639,-0.016639,40.11,48.668885,-8.558885,94.99,95.317804,-0.327804,40.11,36.50166375,3.60833625,46.53285451,46.69343621,-0.160581702
Godzilla,2000,1500,500,350,60.05,60.033333,0.016667,40.256667,48.665,-8.408333,74.828333,75.546667,-0.718334,40.256667,36.49875,3.757917,48.23189052,48.69490506,-0.463014549
Godzilla,2000,1500,500,420,60.05,60.016667,0.033333,40.383333,48.663333,-8.28,64.831667,64.925,-0.093333,40.383333,36.49749975,3.88583325,50.14604077,50.21823204,-0.072191271
Godzilla,2000,1500,500,480,60.049917,60.049917,0,40.259567,48.72213,-8.462563,58.004992,58.429285,-0.424293,40.259567,36.5415975,3.7179695,51.27513105,51.65019669,-0.375065635
Godzilla,2000,1500,500,543,60.016667,60.033278,-0.016611,40.44,48.748752,-8.308752,52.241667,52.787022,-0.545355,40.44,36.561564,3.878436,52.241667,52.787022,-0.545355
Godzilla,1700,1600,100,177,42.516667,42.816667,-0.3,31.856667,33.578333,-1.721666,99.903333,99.918333,-0.015,27.07816695,26.8626664,0.21550055,32.56517485,32.57006435,-0.004889503
Godzilla,1700,1600,100,266,60,60,0,44.645,46.648333,-2.003333,95.068333,95.108333,-0.04,37.94825,37.3186664,0.6295836,46.57122758,46.59082243,-0.019594843
Godzilla,1700,1600,100,350,60.066667,60.033278,0.033389,44.598333,46.643927,-2.045594,75.535,75.580699,-0.045699,37.90858305,37.3151416,0.59344145,48.6873849,48.71684098,-0.029456077
Godzilla,1700,1600,100,420,60.049917,60.033333,0.016584,44.680532,46.726667,-2.046135,65.144759,65.07,0.074759,37.9784522,37.3813336,0.5971186,50.38821138,50.33038674,0.057824641
Godzilla,1700,1600,100,480,60.033278,60.016667,0.016611,44.745424,46.728333,-1.982909,58.199667,58.273333,-0.073666,38.0336104,37.3826664,0.650944,51.44721945,51.51233856,-0.065119116
Godzilla,1700,1600,100,543,60.033333,60.049917,-0.016584,44.598333,46.520799,-1.922466,52.696667,52.687188,0.009479,37.90858305,37.2166392,0.69194385,52.696667,52.687188,0.009479
Godzilla,1800,1600,200,177,42.55,42.816667,-0.266667,30.615,33.578333,-2.963333,99.948333,99.918333,0.03,27.5535,26.8626664,0.6908336,32.57984335,32.57006435,0.009779006
Godzilla,1800,1600,200,266,60.033278,60,0.033278,43.018303,46.648333,-3.63003,95.101497,95.108333,-0.006836,38.7164727,37.3186664,1.3978063,46.58747367,46.59082243,-0.003348759
Godzilla,1800,1600,200,350,60.05,60.033278,0.016722,43.213333,46.643927,-3.430594,75.266667,75.580699,-0.314032,38.8919997,37.3151416,1.5768581,48.51442624,48.71684098,-0.202414733
Godzilla,1800,1600,200,420,60.016639,60.033333,-0.016694,43.519135,46.726667,-3.207532,64.926789,65.07,-0.143211,39.1672215,37.3813336,1.7858879,50.2196158,50.33038674,-0.110770939
Godzilla,1800,1600,200,480,60.049917,60.016667,0.03325,43.159734,46.728333,-3.568599,58.164725,58.273333,-0.108608,38.8437606,37.3826664,1.4610942,51.41633149,51.51233856,-0.096007072
Godzilla,1800,1600,200,543,60.016639,60.049917,-0.033278,43.171381,46.520799,-3.349418,52.499168,52.687188,-0.18802,38.8542429,37.2166392,1.6376037,52.499168,52.687188,-0.18802
Godzilla,1900,1600,300,177,42.445923,42.816667,-0.370744,29.515807,33.578333,-4.062526,99.955075,99.918333,0.036742,28.04001665,26.8626664,1.17735025,32.58204102,32.57006435,0.011976674
Godzilla,1900,1600,300,266,60.016639,60,0.016639,41.582363,46.648333,-5.06597,95.094842,95.108333,-0.013491,39.50324485,37.3186664,2.18457845,46.58421358,46.59082243,-0.006608851
Godzilla,1900,1600,300,350,60.05,60.033278,0.016722,41.626667,46.643927,-5.01726,75.233333,75.580699,-0.347366,39.54533365,37.3151416,2.23019205,48.49294024,48.71684098,-0.223900737
Godzilla,1900,1600,300,420,60.016667,60.033333,-0.016666,41.585,46.726667,-5.141667,64.868333,65.07,-0.201667,39.50575,37.3813336,2.1244164,50.17440122,50.33038674,-0.155985525
Godzilla,1900,1600,300,480,60.033278,60.016667,0.016611,41.562396,46.728333,-5.165937,58.086522,58.273333,-0.186811,39.4842762,37.3826664,2.1016098,51.34720177,51.51233856,-0.165136796
